8da80ed5 devm_release_resource
db04e5eb devm_request_any_context_irq
4683501f devm_request_threaded_irq
7dc347c7 devm_rproc_alloc
0dd659b1 dget_parent
8e3336dd disable_irq
8e3336dd disable_irq_nosync
ad93d3cd discard_new_inode
4c298666 dm_consume_args
18a5c610 dm_get_device
2ec51675 dm_io
c5592a8f dm_io_client_create
73a2fb77 dm_io_client_destroy
4b355db8 dm_put_device
847ef9ec dm_read_arg_group
b517498b dm_register_target
9c9d2745 dm_shift_arg
ae296190 dm_table_event
b35d3d12 dm_table_get_mode
fba451aa dm_unregister_target
cf96de2a dma_alloc_attrs
4a60238e dma_async_device_register
88018acb dma_async_device_unregister
508cdc77 dma_async_tx_descriptor_init
c08d3163 dma_fence_add_callback
a9b83f79 dma_fence_allocate_private_stub
e67209b2 dma_fence_array_create
2f6bf308 dma_fence_array_ops
130005d0 dma_fence_chain_init
2f6bf308 dma_fence_chain_ops
70339c7b dma_fence_chain_walk
e5f062f6 dma_fence_context_alloc
970e3465 dma_fence_default_wait
a6ee9c3c dma_fence_enable_sw_signaling
a6ee9c3c dma_fence_free
e8b9afb4 dma_fence_get_status
1b8a65e6 dma_fence_get_stub
191814b8 dma_fence_init
4d171f3e dma_fence_match_context
cdb1c41f dma_fence_release
24823257 dma_fence_remove_callback
a8b38530 dma_fence_set_deadline
e8b9afb4 dma_fence_signal
e8b9afb4 dma_fence_signal_locked
0955043a dma_fence_signal_timestamp_locked
88dbc1c9 dma_fence_wait_any_timeout
970e3465 dma_fence_wait_timeout
111d26af dma_free_attrs
f9b67479 dma_get_sgtable_attrs
88e45c5f dma_map_page_attrs
84123a27 dma_map_resource
57021588 dma_map_sg_attrs
230cd649 dma_mmap_attrs
2c4f7b6e dma_pool_alloc
013a3b99 dma_pool_create
b9240cd2 dma_pool_destroy
6b866b59 dma_pool_free
0a223f4b dma_resv_add_fence
5fd1d743 dma_resv_fini
5fd1d743 dma_resv_init
68071737 dma_resv_iter_first_unlocked
68071737 dma_resv_iter_next_unlocked
f21f7c1b dma_resv_reserve_fences
b49a38f6 dma_set_coherent_mask
b49a38f6 dma_set_mask
c567e3ae dma_sync_wait
589e13d5 dma_unmap_page_attrs
589e13d5 dma_unmap_resource
3727ff83 dma_unmap_sg_attrs
bb355f0e dmaengine_get_unmap_data
4a60238e dmaenginem_async_device_register
408d8730 dmam_alloc_attrs
a7a065dc dmam_free_coherent
e57755c5 dmam_pool_create
fd04d295 do_SAK
35c435ce do_trace_netlink_extack
d3e91a3f do_wait_intr
d3e91a3f do_wait_intr_irq
8151efdb down
709ae132 down_interruptible
709ae132 down_killable
512802b6 down_read
cd6876a9 down_read_interruptible
cd6876a9 down_read_killable
cd6876a9 down_read_trylock
8374ea5f down_timeout
709ae132 down_trylock
512802b6 down_write
cd6876a9 down_write_killable
cd6876a9 down_write_trylock
512802b6 downgrade_write
34cf4b26 dput
015b7ce8 dql_completed
7fc0117a dql_reset
1916b6cd drm_add_edid_modes
b54f5892 drm_add_modes_noedid
a65ba631 drm_analog_tv_mode
8d95928f drm_any_plane_has_format
0afbe1fa drm_aperture_remove_conflicting_framebuffers
a8215346 drm_aperture_remove_conflicting_pci_framebuffers
74d087ad drm_atomic_add_affected_connectors
74d087ad drm_atomic_add_affected_planes
b598d5ed drm_atomic_add_encoder_bridges
0a41196b drm_atomic_bridge_chain_check
ea7c0c09 drm_atomic_bridge_chain_disable
ea7c0c09 drm_atomic_bridge_chain_enable
ea7c0c09 drm_atomic_bridge_chain_post_disable
ea7c0c09 drm_atomic_bridge_chain_pre_enable
d9f175c0 drm_atomic_commit
